Series,Episode,var,Label,Offset
DIS,S2E06,Pike,Rise of the Kelpiens,0
DIS,S2E13/14,Pike,Rise of the Kelpiens,0
ENT,S4E04,Augments,Soong,0
ENT,S4E05,Augments,Soong,0
ENT,S4E06,Augments,Soong,0
ENT,S4E15,Klingons,Cranial Ridge,-1.5
ENT,S4E16,Klingons,Cranial Ridge,-1.5
DS9,S5E06,Klingons,Cranial Ridge,-1.5
ENT,S4E22,Riker,Pegasus,0
TNG,S7E12,Riker,Pegasus,0
TNG,S2E03,Data,Moriaty,0
TNG,S6E12,Barclay,Moriaty,0
TNG,S3E08,Ferengi,Arridor and Koi,0
VOY,S3E05,Ferengi,Arridor and Koi,0
TNG,S2E09,Data,Bruce Maddox,2
TNG,S4E11,Data,Bruce Maddox,2
TNG,S3E19,Picard,Vash,-1.5
TNG,S4E20,Picard,Vash,-1.5
TNG,S6E24,Riker,Thomas Riker,-3
DS9,S3E09,Riker,Thomas Riker,-3
TNG,S1E09,Picard,Bok,-3
TNG,S7E24,Picard,Bok,-3
TNG,S1E01/02,Q,Trial of Humanity,-1.5
TNG,S7E25/26,Q,Trial of Humanity,-1.5
